Year,Age,Gender,Rate
2011,26,Female,0.00007
2011,37,Female,0.000008
2011,48,Female,0.000019
2011,56,Female,0.00084
2012,17,Female,0.000259
2012,18,Female,0.002811
2012,20,Female,0.000436
2012,21,Female,0.000527
2012,23,Female,0.000085
2012,25,Female,0.000708
2012,26,Female,0.000073
2012,27,Female,0.000215
2012,28,Female,0.000133
2012,29,Female,0.000175
2012,30,Female,0.000201
2012,31,Female,0.000127
2012,32,Female,0.000285
2012,33,Female,0.000844
2012,34,Female,0.000167
2012,35,Female,0.000513
2012,36,Female,0.000325
2012,37,Female,0.001542
2012,38,Female,0.001804
2012,39,Female,0.000881
2012,40,Female,0.000615
2012,41,Female,0.001248
2012,42,Female,0.001352
2012,43,Female,0.001238
2012,44,Female,0.001443
2012,45,Female,0.000686
2012,46,Female,0.001487
2012,47,Female,0.00179
2012,48,Female,0.002349
2012,49,Female,0.001872
2012,50,Female,0.002585
2012,51,Female,0.002275
2012,52,Female,0.003819
2012,53,Female,0.002875
2012,54,Female,0.003772
2012,55,Female,0.003391
2012,56,Female,0.002645
2012,57,Female,0.003095
2012,58,Female,0.004575
2012,59,Female,0.003617
2012,60,Female,0.005094
2012,61,Female,0.002012
2012,62,Female,0.004565
2012,63,Female,0.003963
2012,64,Female,0.00829
2012,65,Female,0.007607
2012,66,Female,0.002589
2012,67,Female,0.002478
2012,69,Female,0.008422
2013,18,Female,0.001521
2013,19,Female,0.001205
2013,20,Female,0.001
2013,21,Female,0.001858
2013,22,Female,0.000484
2013,23,Female,0.000551
2013,24,Female,0.000076
2013,25,Female,0.000981
2013,26,Female,0.000492
2013,27,Female,0.00063
2013,28,Female,0.000663
2013,29,Female,0.000672
2013,30,Female,0.004554
2013,31,Female,0.000365
2013,32,Female,0.000603
2013,33,Female,0.000833
2013,34,Female,0.00079
2013,35,Female,0.000808
2013,36,Female,0.000959
2013,37,Female,0.00148
2013,38,Female,0.001334
2013,39,Female,0.002625
2013,40,Female,0.001064
2013,41,Female,0.001335
2013,42,Female,0.002022
2013,43,Female,0.001629
2013,44,Female,0.001602
2013,45,Female,0.001916
2013,46,Female,0.002251
2013,47,Female,0.002918
2013,48,Female,0.003255
2013,49,Female,0.003463
2013,50,Female,0.003317
2013,51,Female,0.003941
2013,52,Female,0.004999
2013,53,Female,0.004184
2013,54,Female,0.004643
2013,55,Female,0.006423
2013,56,Female,0.006066
2013,57,Female,0.006347
2013,58,Female,0.00751
2013,59,Female,0.010168
2013,60,Female,0.009412
2013,61,Female,0.011239
2013,62,Female,0.011534
2013,63,Female,0.010204
2013,64,Female,0.021689
2013,65,Female,0.019946
2013,66,Female,0.016673
2013,67,Female,0.024269
2013,68,Female,0.021485
2013,69,Female,0.009414
2013,70,Female,0.094982
2014,19,Female,0.004859
2014,21,Female,0.00021
2014,22,Female,0.001003
2014,24,Female,0.001092
2014,25,Female,0.002034
2014,26,Female,0.001909
2014,27,Female,0.000099
2014,28,Female,0.00141
2014,29,Female,0.000406
2014,30,Female,0.000514
2014,31,Female,0.000423
2014,32,Female,0.000946
2014,33,Female,0.000673
2014,34,Female,0.000689
2014,35,Female,0.000942
2014,36,Female,0.0012
2014,37,Female,0.000782
2014,38,Female,0.000687
2014,39,Female,0.00108
2014,40,Female,0.002078
2014,41,Female,0.000977
2014,42,Female,0.001448
2014,43,Female,0.001474
2014,44,Female,0.00176
2014,45,Female,0.002592
2014,46,Female,0.002979
2014,47,Female,0.003046
2014,48,Female,0.003232
2014,49,Female,0.0039
2014,50,Female,0.00352
2014,51,Female,0.00372
2014,52,Female,0.005111
2014,53,Female,0.004726
2014,54,Female,0.007191
2014,55,Female,0.005688
2014,56,Female,0.008527
2014,57,Female,0.007575
2014,58,Female,0.010109
2014,59,Female,0.015313
2014,60,Female,0.011158
2014,61,Female,0.009997
2014,62,Female,0.013022
2014,63,Female,0.009721
2014,64,Female,0.011017
2014,65,Female,0.015192
2014,66,Female,0.016121
2014,67,Female,0.011623
2014,68,Female,0.016617
2014,69,Female,0.014323
2014,70,Female,0.008465
2014,71,Female,0.340197
2015,18,Female,0.008721
2015,20,Female,0.002251
2015,22,Female,0.000039
2015,23,Female,0.000126
2015,25,Female,0.000217
2015,26,Female,0.000943
2015,27,Female,0.000693
2015,28,Female,0.001023
2015,29,Female,0.000398
2015,30,Female,0.00077
2015,31,Female,0.000279
2015,32,Female,0.001013
2015,33,Female,0.000651
2015,34,Female,0.000532
2015,35,Female,0.000775
2015,36,Female,0.001512
2015,37,Female,0.000992
2015,38,Female,0.000498
2015,39,Female,0.001328
2015,40,Female,0.00284
2015,41,Female,0.001647
2015,42,Female,0.001907
2015,43,Female,0.001809
2015,44,Female,0.001858
2015,45,Female,0.001779
2015,46,Female,0.002041
2015,47,Female,0.002175
2015,48,Female,0.00316
2015,49,Female,0.003032
2015,50,Female,0.003867
2015,51,Female,0.003756
