Year,Age,Gender,Rate
2001,18,Female,1246849.315
2001,21,Female,1000000
2001,24,Female,2200000
2001,25,Female,2500000
2001,28,Female,900000
2001,30,Female,1200000
2001,31,Female,1200000
2001,32,Female,1800000
2001,34,Female,3600000
2001,35,Female,5259863.014
2001,36,Female,4109863.014
2001,38,Female,4000000
2001,39,Female,5900000
2001,40,Female,2400000
2001,41,Female,8608219.178
2001,42,Female,3000000
2001,43,Female,4500000
2001,44,Female,2700000
2001,47,Female,4000000
2001,48,Female,4500000
2001,49,Female,4016438.356
2001,50,Female,6200000
2001,51,Female,5000000
2001,52,Female,1100000
2001,55,Female,86849.31507
2001,56,Female,44383.56164
2002,18,Female,12300000
2002,22,Female,1000000
2002,25,Female,1235616.438
2002,26,Female,2500000
2002,29,Female,900000
2002,31,Female,1200000
2002,32,Female,717808.2192
2002,33,Female,1800000
2002,35,Female,3600000
2002,36,Female,5250000
2002,37,Female,4100000
2002,39,Female,4000000
2002,40,Female,5900000
2002,41,Female,2019452.055
2002,42,Female,8500000
2002,43,Female,106849.3151
2002,44,Female,3921369.863
2002,45,Female,2700000
2002,48,Female,4000000
2002,49,Female,4500000
2002,50,Female,4000000
2002,51,Female,3119452.055
2002,52,Female,5000000
2002,53,Female,1100000
2003,19,Female,12300000
2003,23,Female,38356.16438
2003,26,Female,1200000
2003,27,Female,2500000
2003,30,Female,900000
2003,32,Female,1200000
2003,33,Female,24931.50685
2003,34,Female,62191.78082
2003,36,Female,3600000
2003,37,Female,5250000
2003,38,Female,3426849.315
2003,40,Female,4000000
2003,41,Female,5900000
2003,42,Female,1600000
2003,43,Female,7057534.247
2003,45,Female,3900000
2003,46,Female,2700000
2003,49,Female,4000000
2003,50,Female,4500000
2003,51,Female,4000000
2003,52,Female,115068.4932
2003,53,Female,5000000
2003,54,Female,42191.78082
2004,20,Female,12300000
2004,27,Female,1200000
2004,28,Female,2500000
2004,31,Female,900000
2004,33,Female,1200000
2004,34,Female,197260.274
2004,37,Female,46281369.86
2004,38,Female,5250000
2004,39,Female,3400000
2004,41,Female,4000000
2004,42,Female,5900000
2004,43,Female,52602.73973
2004,44,Female,2178082.192
2004,46,Female,3900000
2004,47,Female,2700000
2004,50,Female,4000000
2004,51,Female,4500000
2004,52,Female,1685479.452
2004,54,Female,5000000
2005,20,Female,504520.5479
2005,21,Female,12300000
2005,28,Female,42739.72603
2005,29,Female,93972.60274
2005,32,Female,111780.8219
2005,34,Female,1542739.726
2005,38,Female,60049315.07
2005,39,Female,193150.6849
2005,40,Female,117260.274
2005,42,Female,131506.8493
2005,43,Female,193972.6027
2005,45,Female,65753.42466
2005,47,Female,149589.0411
2005,48,Female,96164.38356
2005,51,Female,4000000
2005,52,Female,172602.7397
2005,53,Female,61369.86301
2005,55,Female,191780.8219
2006,20,Female,2679178.082
2006,21,Female,433972.6027
2006,22,Female,12300000
2006,24,Female,147945.2055
2006,26,Female,328767.1233
2006,28,Female,4912328.767
2006,29,Female,42739.72603
2006,30,Female,558904.1096
2006,35,Female,1306849.315
2006,39,Female,62915978.77
2006,52,Female,4000000
2007,21,Female,1200000
2007,23,Female,12300000
2007,24,Female,987671.2329
2007,26,Female,473972.6027
2007,27,Female,3233698.63
2007,28,Female,14945032.41
2007,29,Female,59178.08219
2007,33,Female,1163145.813
2007,34,Female,1761315.068
2007,35,Female,287671.2329
2007,38,Female,1160273.973
2007,39,Female,6961179.795
2007,40,Female,63528000
2007,41,Female,2485911.778
2007,42,Female,4462190.327
2007,43,Female,287671.2329
2007,45,Female,1283667.599
2007,47,Female,287671.2329
2007,48,Female,287671.2329
2007,49,Female,287671.2329
2007,50,Female,1976493.151
2007,51,Female,50684.93151
2007,53,Female,4000000
2007,54,Female,287671.2329
2007,64,Female,272562.8055
2007,67,Female,27053.40822
2008,22,Female,1173698.63
2008,23,Female,1479452.055
2008,24,Female,21005242.45
2008,26,Female,35227397.26
2008,27,Female,739726.0274
2008,28,Female,9903912.297
2008,29,Female,18815068.49
2008,30,Female,477765.3699
2008,31,Female,739726.0274
2008,32,Female,2751780.822
2008,33,Female,5650205.248
2008,34,Female,4907142.252
2008,35,Female,9947123.288
2008,36,Female,3069863.014
2008,37,Female,23953695.92
2008,38,Female,8651232.877
2008,39,Female,2608496.866
2008,40,Female,17871042.81
2008,41,Female,80533287.67
2008,42,Female,4141507.836
2008,43,Female,35877322.68
2008,45,Female,10850450.09
2008,46,Female,12967206.56
2008,47,Female,5250942.993
2008,48,Female,6108219.178
2008,49,Female,19528265.05
2008,50,Female,4780923.2
2008,51,Female,6845000
2008,52,Female,189444.6197
2008,53,Female,5050583.252
2008,54,Female,12146882.58
2008,56,Female,8658250.348
2008,57,Female,10125279.9
2008,58,Female,2341643.836
2008,59,Female,2502962.77
2008,64,Female,690871
2008,65,Female,918595.5397
2008,66,Female,4337060.729
2008,67,Female,470214
2009,23,Female,10410958.9
2009,24,Female,21666770.1
2009,25,Female,17491001.73
2009,26,Female,7759007.255
2009,27,Female,45882541.68
